names,ids,types,grade,director,addr,actor,year,comment
地雷区,26591654,剧情 / 历史 / 战争,8.7,马丁·赞里维特,丹麦/德国,罗兰·默勒 / 米克尔·福尔斯加德 / 路易斯·霍夫曼,21世纪10年代,86531
聚焦,25954475,剧情 / 传记,8.8,汤姆·麦卡锡,美国,马克·鲁弗洛 / 迈克尔·基顿 / 瑞秋·麦克亚当斯,21世纪10年代,272621
心迷宫,25917973,剧情 / 犯罪 / 悬疑,8.8,忻钰坤,中国大陆,霍卫民 / 王笑天 / 罗芸,21世纪10年代,575390
小森林,25814707,剧情,9.0,森淳一,日本,桥本爱 / 三浦贵大 / 松冈茉优,21世纪10年代,401944
小森林,25814705,剧情,9.0,森淳一,日本,桥本爱 / 三浦贵大 / 松冈茉优,21世纪10年代,451965
模仿游戏,10463953,剧情 / 传记 / 战争 / 同性,8.8,莫滕·泰杜姆,英国/美国,本尼迪克特·康伯巴奇 / 凯拉·奈特莉 / 马修·古迪,21世纪10年代,690771
哪啊哪啊神去村,24741412,剧情 / 喜剧,8.5,矢口史靖,日本,染谷将太 / 长泽雅美 / 伊藤英明,21世纪10年代,178279
另一个故乡,22265121,剧情 / 历史,8.5,爱德嘉·莱兹,德国/法国,扬·迪特尔·施耐德 / 安东尼娅·比尔 / 麦斯米兰·沙伊特,21世纪10年代,11746
时空恋旅人,10577869,喜剧 / 爱情 / 奇幻,8.8,理查德·柯蒂斯,英国/美国,多姆纳尔·格里森 / 瑞秋·麦克亚当斯 / 比尔·奈伊,21世纪10年代,737302
兹山鱼谱,30409439,剧情 / 历史 / 古装,8.8,李濬益,韩国,薛景求 / 卞约汉 / 李姃垠,21世纪20年代,56526
老友记重聚特辑,34908189,喜剧 / 爱情,9.2,本·温斯顿,美国,詹妮弗·安妮斯顿 / 柯特妮·考克斯 / 马修·派瑞,21世纪20年代,76982
编舟记,11500954,剧情,8.6,石井裕也,日本,松田龙平 / 宫崎葵 / 小田切让,21世纪10年代,77358
东京家族,5996409,剧情 / 家庭,8.8,山田洋次,日本,桥爪功 / 吉行和子 / 西村雅彦,21世纪10年代,62273
亨利五世,10543907,剧情 / 历史 / 战争,8.7,西娅·夏罗克,英国,汤姆·希德勒斯顿 / 朱丽·沃特斯 / 约翰·赫特,21世纪10年代,10923
可可西里,1308857,剧情 / 犯罪,8.9,陆川,中国大陆/中国香港,多布杰 / 张垒 / 奇道,21世纪00年代,326473
爵士春秋,1299330,剧情 / 喜剧 / 音乐 / 歌舞,8.5,鲍勃·福斯,美国,罗伊·谢德 / 杰西卡·兰格 / 利兰·帕尔默,20世纪70年代,11046
我这一辈子,1422020,剧情 / 历史,8.8,石挥,中国大陆,石挥 / 魏鹤龄 / 崔超明,20世纪50年代,17200
青之炎,1389924,剧情 / 犯罪 / 爱情,8.6,蜷川幸雄,日本,二宫和也 / 松浦亚弥 / 秋吉久美子,21世纪00年代,44776
黑客帝国2：重装上阵,1304141,动作 / 科幻,8.7,拉娜·沃卓斯基 / 莉莉·沃卓斯基,美国,基努·里维斯 / 劳伦斯·菲什伯恩 / 凯瑞-安·莫斯,21世纪00年代,432623
血钻,1428175,剧情 / 惊悚 / 冒险,8.7,爱德华·兹威克,美国/德国/英国,莱昂纳多·迪卡普里奥 / 杰曼·翰苏 / 詹妮弗·康纳利,21世纪00年代,404151
东邪西毒,1292328,剧情 / 动作 / 爱情 / 武侠 / 古装,8.6,王家卫,中国香港/中国台湾,张国荣 / 林青霞 / 梁朝伟,20世纪90年代,607978
记忆碎片,1304447,犯罪 / 剧情 / 悬疑 / 惊悚,8.7,克里斯托弗·诺兰,美国,盖·皮尔斯 / 凯瑞-安·莫斯 / 乔·潘托里亚诺,21世纪00年代,640272
哈利·波特与火焰杯,1309055,悬疑 / 奇幻 / 冒险,8.8,迈克·内威尔,英国/美国,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特,21世纪00年代,742115
被解救的姜戈,6307447,剧情 / 动作 / 西部 / 冒险,8.8,昆汀·塔伦蒂诺,美国,杰米·福克斯 / 莱昂纳多·迪卡普里奥 / 克里斯托弗·瓦尔兹,21世纪10年代,653799
哈利·波特与密室,1296996,奇幻 / 冒险,8.9,克里斯·哥伦布,英国/美国,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特,21世纪00年代,849792
唐伯虎点秋香,1306249,喜剧 / 爱情 / 古装,8.7,李力持,中国香港,周星驰 / 巩俐 / 陈百祥,20世纪90年代,1157947
哈利·波特与阿兹卡班的囚徒,1291544,奇幻 / 冒险,9.0,阿方索·卡隆,英国/美国,丹尼尔·雷德克里夫 / 艾玛·沃森 / 鲁伯特·格林特,21世纪00年代,824138
功夫,1291543,动作 / 喜剧 / 犯罪 / 奇幻,8.9,周星驰,中国大陆/中国香港,周星驰 / 元秋 / 元华,21世纪00年代,1241223
喜剧之王,1302425,喜剧 / 剧情 / 爱情,8.8,周星驰 / 李力持,中国香港,周星驰 / 张柏芝 / 莫文蔚,20世纪90年代,1033894
猫鼠游戏,1305487,传记 / 犯罪 / 剧情,9.1,史蒂文·斯皮尔伯格,美国/加拿大,莱昂纳多·迪卡普里奥 / 汤姆·汉克斯 / 克里斯托弗·沃肯,21世纪00年代,1123959
彗星美人,1401385,剧情,8.7,约瑟夫·L·曼凯维奇,美国,贝蒂·戴维斯 / 安妮·巴克斯特 / 乔治·桑德斯,20世纪50年代,30647
凡尔杜先生,1294047,喜剧 / 犯罪 / 剧情,8.8,查理·卓别林,美国,查理·卓别林 / 马迪·科雷尔 / 艾莉森·罗丹,20世纪40年代,12131
红胡子,1296679,剧情,8.9,黑泽明,日本,三船敏郎 / 加山雄三 / 山崎努,20世纪60年代,18498
待客之道,1295211,喜剧 / 爱情 / 惊悚,8.6,约翰·布莱斯通 / 巴斯特·基顿,美国,巴斯特·基顿 / 娜塔莉·塔尔梅奇 / 乔·罗伯茨,20世纪20年代,7014
冬冬的假期,1299103,剧情 / 儿童,8.8,侯孝贤,中国台湾,梅芳 / 古军 / 王启光,20世纪80年代,34387
公民凯恩,1292288,剧情 / 悬疑,8.8,奥逊·威尔斯,美国,奥逊·威尔斯 / 约瑟夫·科顿 / 多萝西·康明戈尔,20世纪40年代,125648
日出,1295753,剧情 / 爱情,8.7,F·W·茂瑙,美国,乔治·奥布莱恩 / 珍妮·盖诺 / 玛格丽特·利文斯顿,20世纪20年代,18835
圣女贞德蒙难记,1293783,传记 / 犯罪 / 剧情 / 历史,8.7,卡尔·西奥多·德莱叶,法国,玛利亚·法奥康涅蒂 / 安德烈·贝利 / 莫里斯·舒茨,20世纪20年代,16455
后窗,1299080,悬疑 / 惊悚,8.7,阿尔弗雷德·希区柯克,美国,詹姆斯·斯图尔特 / 格蕾丝·凯利 / 温戴尔·柯瑞,20世纪50年代,219777
诗,3212965,剧情,8.7,李沧东,韩国/法国,尹静姬 / 李大卫 / 金熙罗,21世纪10年代,65122
石榴的颜色,1303542,剧情 / 传记 / 历史,8.7,谢尔盖·帕拉杰诺夫,苏联,索菲柯·齐阿乌列里 / 米尔克·阿尔克桑亚 / 维勒·加尔斯特亚,20世纪60年代,25914
雁南飞,1302077,剧情 / 爱情 / 战争,8.8,米哈伊尔·卡拉托佐夫,苏联,塔吉娅娜·萨莫依洛娃 / 阿列克谢·巴塔洛夫 / 瓦西里·梅尔库里耶夫,20世纪50年代,21020
影子部队,1466419,剧情 / 战争,8.5,让-皮埃尔·梅尔维尔,法国/意大利,利诺·文图拉 / 保罗·默里斯 / 让-皮埃尔·卡塞尔,20世纪60年代,10292
我出生了，但……,1299360,喜剧 / 剧情,8.7,小津安二郎,日本,斋藤达雄 / 青木富夫 / 吉川满子,20世纪30年代,6477
麻雀之歌,2138467,剧情,8.7,马基德·马基迪,伊朗,默罕默德·阿米尔·纳吉 / Hossein Aghazi / Maryam Akbari,21世纪00年代,8960
纽伦堡的审判,1292589,剧情 / 历史,9.1,斯坦利·克雷默,美国,斯宾塞·屈塞 / 伯特·兰卡斯特 / 理查德·威德马克,20世纪60年代,9799
杀手,1293936,犯罪 / 黑色电影 / 惊悚,8.6,斯坦利·库布里克,美国,斯特林·海登 / 柯琳·格蕾 / 文斯·爱德华兹,20世纪50年代,37478
梦,1299112,剧情 / 奇幻,8.7,黑泽明,日本/美国,寺尾聪 / 倍赏美津子 / 根岸季衣,20世纪90年代,68906
椿三十郎,1293310,剧情 / 喜剧 / 动作 / 犯罪 / 惊悚,8.8,黑泽明,日本,三船敏郎 / 仲代达矢 / 小林桂树,20世纪60年代,35604
女人步上楼梯时,1419479,剧情,9.1,成濑巳喜男,日本,高峰秀子 / 森雅之 / 团令子,20世纪60年代,23318
五至七时的克莱奥,1294565,喜剧 / 剧情 / 音乐,8.7,阿涅斯·瓦尔达,法国/意大利,科琳娜·马尔尚 / 安托万·布尔塞耶 / 多米妮克·达夫雷,20世纪60年代,29659
婚姻生活,1292981,剧情 / 爱情,9.0,英格玛·伯格曼,瑞典,丽芙·乌尔曼 / 厄兰·约瑟夫森 / 古内尔·林德布洛姆,20世纪70年代,29503
春天情书,1858233,剧情 / 爱情,8.6,森田芳光,日本,深津绘里 / 内野圣阳 / 户田菜穗,20世纪90年代,21736
金福南杀人事件始末,4826419,剧情 / 犯罪 / 惊悚,8.6,张哲洙,韩国,徐英姬 / 池成媛 / 朴政学,21世纪10年代,286386
望乡,1303073,剧情 / 历史 / 战争,8.8,熊井启,日本,栗原小卷 / 田中绢代 / 高桥洋子,20世纪70年代,13197
爱丽丝城市漫游记,1293306,剧情,8.6,维姆·文德斯,西德,吕迪格·福格勒 / 耶拉·罗特兰德尔 / 丽萨·克鲁泽,20世纪70年代,9313
圣山,1401905,奇幻 / 冒险,8.7,亚历桑德罗·佐杜洛夫斯基,墨西哥,亚历桑德罗·佐杜洛夫斯基 / 霍拉西奥·萨利纳斯 / Zamira Saunders,20世纪70年代,28579
亚当斯一家的价值观,1299900,喜剧 / 家庭 / 奇幻 / 惊悚,8.8,巴里·索南菲尔德,美国,克里斯蒂娜·里奇 / 琼·库萨克 / 劳尔·胡里亚,20世纪90年代,76447
生生长流,1303471,剧情 / 灾难,8.8,阿巴斯·基亚罗斯塔米,伊朗,法德哈·基德曼 / 布巴·巴尤尔· / 奥西纳·法赫,20世纪90年代,20578
天国王朝,1309071,剧情 / 历史 / 战争,8.6,雷德利·斯科特,英国/德国/西班牙/摩洛哥/美国/意大利/法国,奥兰多·布鲁姆 / 伊娃·格林 / 爱德华·诺顿,21世纪00年代,126909
热带鱼,1302181,喜剧 / 剧情,8.7,陈玉勋,中国台湾,林嘉宏 / 文英 / 林正盛,20世纪90年代,26044
开心家族,6019180,剧情 / 喜剧 / 家庭,8.6,金英卓,韩国,车太贤 / 高昌锡 / 张荣男,21世纪10年代,206581
撒旦探戈,1422088,剧情 / 悬疑,8.8,贝拉·塔尔,匈牙利/德国/瑞士,米哈伊·维格 / 普吉·霍瓦特 / 拉斯洛·费卢戈希,20世纪90年代,11320
交响情人梦,3335464,剧情,8.8,武内英樹,日本,上野樹里 / 玉木 宏,21世纪10年代,37475
共同警备区,1306664,剧情,8.9,朴赞郁,韩国,李英爱 / 李炳宪 / 宋康昊,21世纪00年代,135563
欢乐时光,26550176,剧情,8.7,滨口龙介,日本,田中幸惠 / 菊池叶月 / 三原麻衣子,21世纪10年代,15623
东邪西毒：终极版,3726072,剧情 / 动作 / 爱情,8.8,王家卫,中国香港/中国大陆/中国台湾,张国荣 / 林青霞 / 梁朝伟,21世纪00年代,213407
迷恋荷尔蒙,1773216,剧情 / 爱情 / 犯罪 / 同性,8.6,弗兰克·皮尔森,美国/加拿大,特洛伊·格雷提 / 李·佩斯 / 安德鲁·布劳尔,21世纪00年代,33636
罗马11时,1466243,剧情,9.1,朱塞佩·德桑蒂斯,意大利/法国,伊娃·瓦尼切克 / 卡拉·德尔波娇 / 马西莫·吉洛蒂,20世纪50年代,5950
其后,1294580,剧情,8.5,森田芳光,日本,松田优作 / 藤谷美和子 / 小林薰,20世纪80年代,9156
侠女,1306490,剧情 / 动作 / 武侠 / 古装,8.6,胡金铨,中国台湾/中国香港,徐枫 / 石隽 / 白鹰,20世纪70年代,37873
浮云,1298870,剧情 / 爱情,8.5,成濑巳喜男,日本,高峰秀子 / 森雅之 / 冈田茉莉子,20世纪50年代,12702
阿拉伯的劳伦斯,1292349,剧情 / 传记 / 冒险,8.7,大卫·里恩,英国,彼得·奥图尔 / 亚历克·吉尼斯 / 安东尼·奎恩,20世纪60年代,58193
怪谈,1303083,剧情 / 奇幻 / 恐怖,8.6,小林正树,日本,新珠三千代 / 渡边美佐子 / 三国连太郎,20世纪60年代,26916
天堂陌影,1303723,剧情 / 喜剧,8.5,吉姆·贾木许,美国/西德,约翰·劳瑞 / 伊斯特·伯林特 / 理查德·埃德森,20世纪80年代,18234
阿玛柯德,1298672,剧情 / 喜剧,8.7,费德里科·费里尼,意大利/法国,普佩拉·玛奇奥 / 阿尔曼多·布兰恰 / 玛加莉·诺埃尔,20世纪70年代,18654
红柿子,1303637,剧情 / 家庭,8.9,王童,中国台湾,陶述 / 石隽 / 张世,20世纪90年代,12452
摇滚芭比,1301926,剧情 / 喜剧 / 同性 / 音乐,8.7,约翰·卡梅隆·米切尔,美国,约翰·卡梅隆·米切尔 / 米利亚姆·肖尔 / 安德列·马丁,21世纪00年代,11160
纸月亮,1303357,喜剧 / 犯罪 / 剧情,8.5,彼得·博格丹诺维奇,美国,瑞安·奥尼尔 / 塔图姆·奥尼尔 / 玛德莲·卡恩,20世纪70年代,17985
紫色,1294503,剧情,8.7,史蒂文·斯皮尔伯格,美国,丹尼·格洛弗 / 乌比·戈德堡 / 玛格丽特·艾弗瑞,20世纪80年代,38301
机器管家,1292529,剧情 / 喜剧 / 科幻,8.6,克里斯·哥伦布,美国/德国,罗宾·威廉姆斯 / 艾伯丝·戴维兹 / 山姆·尼尔,20世纪90年代,111261
自由作家,1945253,传记 / 犯罪 / 剧情,8.6,理查德·拉·格拉文斯,美国/德国,希拉里·斯万克 / 帕特里克·德姆西 / 斯科特·格伦,21世纪00年代,29375
鹳鸟踟蹰,1302789,剧情 / 爱情,8.7,西奥·安哲罗普洛斯,法国/意大利/希腊/瑞士,马塞洛·马斯楚安尼 / 让娜·莫罗,20世纪90年代,11036
袁隆平,3737287,剧情 / 传记,9.0,史凤和,中国大陆,果靖霖 / 徐筠 / 袁隆平,21世纪00年代,10995
杰伊·比姆,35652715,剧情 / 犯罪,8.7,塔·塞·纳纳维尔,印度,苏利耶·西瓦库马 / Lijo Mol Jose / Manikandan,21世纪20年代,67279
西力传,1293846,喜剧 / 奇幻,8.9,伍迪·艾伦,美国,伍迪·艾伦 / 米娅·法罗 / 帕特里克霍根,20世纪80年代,34141
血战台儿庄,1307201,历史 / 战争,8.7,杨光远 / 翟俊杰,中国大陆,邵宏来 / 初国梁 / 江化霖,20世纪80年代,15475
宿敌,35882880,剧情 / 犯罪 / 悬疑,8.5,Dijo Jose Antony,印度,普利特维拉吉·苏库玛兰 / 玛玛塔·莫汉达斯 / Vincy Aloshious,21世纪20年代,51421
我的舅舅,1400829,喜剧,8.5,雅克·塔蒂,意大利/法国,让·皮埃尔·佐拉 / Adrienne Servantie / 吕西安·弗雷吉斯,20世纪50年代,22834
安妮·霍尔,1296987,喜剧 / 剧情 / 爱情,8.6,伍迪·艾伦,美国,伍迪·艾伦 / 黛安·基顿 / 托尼·罗伯茨,20世纪70年代,124322
精武英雄,1292895,动作 / 剧情,8.7,陈嘉上,中国香港/中国大陆,李连杰 / 中山忍 / 钱小豪,20世纪90年代,156942
马路天使,1307708,剧情 / 喜剧,8.6,袁牧之,中国大陆,周璇 / 赵丹 / 魏鹤龄,20世纪30年代,32244
莫里斯,1293456,剧情 / 爱情 / 同性,8.8,詹姆斯·伊沃里,英国,詹姆斯·维尔比 / 休·格兰特 / 鲁珀特·格雷夫斯,20世纪80年代,95406
让娜·迪尔曼,1868933,剧情,8.9,香特尔·阿克曼,比利时/法国,德菲因·塞里格 / 亨利.斯多克 / 雅克·多尼奥-瓦克罗兹,20世纪70年代,14017
战争子午线,1464535,剧情 / 战争,8.8,冯小宁,中国大陆,富大龙 / 沈丹萍 / 江韵辉,20世纪90年代,7246
色，戒,1828115,剧情 / 爱情 / 情色,8.7,李安,中国台湾/中国大陆/美国/中国香港,梁朝伟 / 汤唯 / 陈冲,21世纪00年代,895484
椒麻堂会,27305997,剧情,8.6,邱炯炯,中国香港/法国,易思成 / 陈浩宇 / 关南,21世纪20年代,68325
处女泉,1293156,犯罪 / 剧情,8.6,英格玛·伯格曼,瑞典,马克斯·冯·叙多夫 / 贝吉塔·瓦尔堡 / 古内尔·林德布洛姆,20世纪60年代,47718
在西伯利亚森林中,26682565,冒险,8.7,萨菲·奈布,法国,拉斐尔·佩尔索纳 / Evgeniy Sidikhin,21世纪10年代,30451
乐土,35870056,剧情 / 同性,8.6,塞姆·萨迪克,巴基斯坦/美国,阿利·朱尼乔 / 拉斯蒂·法鲁克 / 阿丽娜·汗,21世纪20年代,36132
时时刻刻,1305666,剧情,8.7,史蒂芬·戴德利,美国/英国,梅丽尔·斯特里普 / 朱丽安·摩尔 / 妮可·基德曼,21世纪00年代,190891
阳光普照,30292777,剧情 / 犯罪 / 家庭,8.6,钟孟宏,中国台湾,陈以文 / 柯淑勤 / 巫建和,21世纪10年代,391034
安东尼娅家族,1296482,剧情 / 喜剧,8.9,玛琳·格里斯,荷兰/比利时/英国,维勒克·范阿梅尔罗伊 / 埃尔斯·多特曼斯 / 多拉·范·德·格伦,20世纪90年代,11929
旅行,1417911,剧情,8.8,费尔南多·索拉纳斯,阿根廷/法国/德国/意大利/日本/墨西哥/西班牙/英国,沃尔特·奎罗斯 / 安吉拉·科雷亚 / 多米妮克·桑达,20世纪90年代,7597
奥本海默,35593344,剧情 / 传记 / 历史,8.8,克里斯托弗·诺兰,美国/英国,基里安·墨菲 / 艾米莉·布朗特 / 马特·达蒙,21世纪20年代,759335
自己去看,1422186,剧情 / 战争,8.7,依莱姆·克里莫夫,苏联,阿列克谢·克拉夫琴科 / 奥尔加·米罗诺娃 / 柳博米拉斯·劳恰维丘斯,20世纪80年代,19784
怪物,35797709,剧情,8.6,是枝裕和,日本,安藤樱 / 永山瑛太 / 黑川想矢,21世纪20年代,208563
薄荷糖,1303145,剧情,8.6,李沧东,韩国/日本,薛景求 / 文素利 / 金汝珍,20世纪90年代,99415
小武,1291851,剧情,8.6,贾樟柯,中国香港/中国大陆,王宏伟 / 郝鸿建 / 左夏初,20世纪90年代,155000
自由的幻影,1297188,喜剧 / 剧情,8.5,路易斯·布努艾尔,法国/意大利,阿德里娅娜·阿斯蒂 / 朱利安·贝尔托 / 让-克洛德·布里亚利,20世纪70年代,18376
妇女参政论者,25821498,剧情 / 传记 / 历史,9.0,莎拉·加芙隆,英国,凯瑞·穆里根 / 海伦娜·伯翰·卡特 / 布莱丹·格里森,21世纪10年代,60317
白日梦想家,2133323,剧情 / 喜剧 / 冒险,8.6,本·斯蒂勒,美国/英国,本·斯蒂勒 / 克里斯汀·韦格 / 亚当·斯科特,21世纪10年代,575876
夺命剑,1300738,剧情,9.0,小林正树,日本,三船敏郎 / 司叶子 / 加藤刚,20世纪60年代,12258
小巷名流,2004547,剧情,8.9,从连文,中国大陆,葛建军 / 任伟民 / 孙才华,20世纪80年代,5371
首尔之春,35712804,剧情,8.8,金成洙,韩国,黄政民 / 郑雨盛 / 李星民,21世纪20年代,225417
假如我是真的,1307971,剧情,8.7,王童,中国台湾,谭咏麟 / 胡冠珍 / 崔福生,20世纪80年代,11452
疯狂的小镇,1297795,剧情,8.9,王凤奎,中国大陆,赵登峰 / 刘廷尧 / 李廷栋,20世纪80年代,13776
荒唐事件,11584063,剧情 / 喜剧,8.8,李新,中国大陆,赵有亮 / 管宗祥 / 张天喜,20世纪90年代,6745
龙种,1294532,剧情 / 历史 / 战争,8.6,哈罗德·S.巴奎特 / 杰克·康威,美国,凯瑟琳·赫本 / 沃尔特·休斯顿 / 艾琳·麦克马洪,20世纪40年代,5012
坠落的审判,35633650,剧情 / 家庭,8.7,茹斯汀·特里耶,法国,桑德拉·惠勒 / 斯万·阿劳德 / 米洛·马查多·格拉纳,21世纪20年代,352368
还有明天,36445098,剧情,9.0,宝拉·柯特莱西,意大利,宝拉·柯特莱西 / 瓦莱里奥·马斯坦德雷亚 / 罗马纳·马乔拉·韦尔加诺,21世纪20年代,23367
生命是个奇迹,1416895,剧情 / 喜剧 / 爱情 / 战争,8.6,埃米尔·库斯图里卡,塞尔维亚/法国/意大利,斯拉夫科·斯提马科 / 娜塔莎·塔普什科维奇 / 乌克·科斯蒂奇,21世纪00年代,10894
黑炮事件,1434269,剧情 / 喜剧,8.7,黄建新,中国大陆,刘子枫 / 盖尔哈德·奥尔谢夫斯基 / 高明,20世纪80年代,53851
泳者之心,26656728,剧情 / 传记 / 运动,9.0,乔阿吉姆·罗恩尼,美国,黛西·雷德利 / 蒂尔达·格哈姆-哈维 / 斯蒂芬·格拉汉姆,21世纪20年代,122245
东方快车谋杀案,1292699,剧情 / 犯罪 / 悬疑,8.6,西德尼·吕美特,英国,阿尔伯特·芬尼 / 劳伦·白考尔 / 马丁·鲍尔萨姆,20世纪70年代,167003
风烛泪,1296097,剧情,8.6,维托里奥·德西卡,意大利,卡洛·巴蒂斯蒂 / 玛丽亚-皮娅·卡西利奥 / 丽娜·甄纳里,20世纪50年代,8077
姥姥的外孙,36328210,剧情,8.8,帕特·波尼蒂帕特,泰国,普提蓬·阿萨拉塔纳功 / 乌萨·萨梅坎姆 / 莎琳拉·托马斯,21世纪20年代,225197
因果报应,36934908,动作 / 犯罪 / 悬疑,8.6,尼蒂兰·萨米纳坦,印度,维杰·西图帕提 / 阿努拉格·卡施亚普 / 玛玛塔·莫汉达斯,21世纪20年代,201245
出走的决心,36587974,剧情 / 家庭,8.8,尹丽川 ,中国大陆,咏梅 / 姜武 / 吴倩,21世纪20年代,213413
好东西,36154853,剧情 / 爱情,9.1,邵艺辉,中国大陆,宋佳 / 钟楚曦 / 曾慕梅,21世纪20年代,510568
